City,Date,positive cases/ day,recovered cases/day,deaths/day
Dakshina Kannada,01-06-2021,536,1172,5
Dakshina Kannada,02-06-2021,618,854,5
Dakshina Kannada,03-06-2021,598,877,5
Dakshina Kannada,04-06-2021,806,858,9
Dakshina Kannada,05-06-2021,714,804,8
Dakshina Kannada,06-06-2021,609,862,5
Dakshina Kannada,07-06-2021,408,676,3
Dakshina Kannada,08-06-2021,525,754,5
Dakshina Kannada,09-06-2021,594,637,3
Dakshina Kannada,10-06-2021,580,625,8
Dakshina Kannada,11-06-2021,506,477,3
Dakshina Kannada,12-06-2021,618,524,4
Dakshina Kannada,13-06-2021,434,476,1
Dakshina Kannada,14-06-2021,648,707,6
Dakshina Kannada,15-06-2021,482,651,5
Dakshina Kannada,16-06-2021,790,966,10
Dakshina Kannada,17-06-2021,679,657,11
Dakshina Kannada,18-06-2021,1006,665,14
Dakshina Kannada,19-06-2021,832,552,16
Dakshina Kannada,20-06-2021,525,583,11
Dakshina Kannada,21-06-2021,542,637,14
Dakshina Kannada,22-06-2021,374,556,15
Dakshina Kannada,23-06-2021,538,535,13
Dakshina Kannada,24-06-2021,498,702,15
Dakshina Kannada,25-06-2021,377,540,14
Dakshina Kannada,26-06-2021,375,567,14
Dakshina Kannada,27-06-2021,454,641,15
Dakshina Kannada,28-06-2021,263,843,14
Mysuru,01-06-2021,1153,1617,15
Mysuru,02-06-2021,1687,1034,12
Mysuru,03-06-2021,1573,1322,12
Mysuru,04-06-2021,1265,1636,18
Mysuru,05-06-2021,1155,1633,22
Mysuru,06-06-2021,1237,1399,19
Mysuru,07-06-2021,1213,1271,17
Mysuru,08-06-2021,974,1241,15
Mysuru,09-06-2021,1163,1045,22
Mysuru,10-06-2021,1011,738,18
Mysuru,11-06-2021,817,814,20
Mysuru,12-06-2021,482,1444,20
Mysuru,13-06-2021,1251,2118,25
Mysuru,14-06-2021,670,2061,25
Mysuru,15-06-2021,490,1438,26
Mysuru,16-06-2021,841,1389,28
Mysuru,17-06-2021,596,892,26
Mysuru,18-06-2021,551,1421,15
Mysuru,19-06-2021,594,898,17
Mysuru,20-06-2021,545,1024,17
Mysuru,21-06-2021,546,1161,22
Mysuru,22-06-2021,486,1245,11
Mysuru,23-06-2021,499,438,18
Mysuru,24-06-2021,404,1290,22
Mysuru,25-06-2021,367,832,22
Mysuru,26-06-2021,647,545,22
Mysuru,27-06-2021,478,660,15
Mysuru,28-06-2021,282,576,8
